,ConstituentID,Classification,DateAcquired,Cataloged,ObjectID,Height(cm),Width(cm)
102456,8059.0,Mies van der Rohe Archive,,N,147806,41.59258319,38.1000762
70162,2769.0,Print,04/12/1969,Y,77068,44.1,68.6
35169,2678.0,Drawing,18/10/1967,Y,38829,15.24,20.955
50651,924.0,Photograph,10/11/1971,Y,55147,19.3,24.4
92077,710.0,Illustrated Book,02/06/2005,Y,121724,27.0,33.8
10141,5098.0,Illustrated Book,30/05/1989,Y,12054,15.2,9.5
118349,2199.0,Print,21/01/2016,Y,199258,5.08001016,4.127508255
29244,5804.0,Illustrated Book,06/10/1964,Y,31669,8.9,11.9
82062,8092.0,Drawing,10/05/2005,Y,95947,17.145,45.7201
82955,28747.0,Drawing,10/05/2005,Y,96918,22.86,12.7
40179,229.0,Photograph,16/01/1941,Y,43947,25.1,20.4
95407,3773.0,Sculpture,08/10/2008,N,132061,5.5,15.7
